user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,user_id_raw,pan_valid_flag,pan_invalid_flag,aadhaar_masked_flag,aadhaar_valid_flag,aadhaar_invalid_flag,income_negative_flag,dob_missing_flag,income_missing_flag,signup_timestamp_missing_flag,kyc_verified_flag,kyc_high_risk_flag
USR16112,Dhriti Deshmukh,SEJAA8194O,715658320763,1967-04-06 00:14:00,Bombay,Maharashtra,35119.0,Retired,2025-12-02 02:18:16,VERIFIED,LOW,USR16112,1,0,0,1,0,0,0,0,0,1,0
USR17216,Megha Jani,QT0ZZ5561X,023412025028,,Lucknow,Uttar Pradesh,80907.0,Freelancer,2024-01-31 00:00:00,VERIFIED,MEDIUM,USR17216,0,1,0,1,0,0,1,0,0,1,0
USR45454,PANINI LAL,QCNTL9489O,278162999816,,kolkata,West Bengal,11214.0,Farmer,2026-01-30 23:57:18,PENDING,HIGH,USR 45454,1,0,0,1,0,0,1,0,0,0,1
USR46189,Jack Parikh,RRVUI4059Q,066780327731,,Amritsar,Punjab,27.3,Student,2025-04-09 00:00:00,VERIFIED,LOW,USR46189,1,0,0,1,0,0,1,0,0,1,0
USR85256,Eta Ravi,YGVOI9236W,176258817110,1969-02-19 08:25:23,delhi,Delhi,24705.0,Salaried,2026-02-03 00:00:00,VERIFIED,LOW,USR85256,1,0,0,1,0,0,0,0,0,1,0
USR20918,Vanya Chad,JDGOH0074Y,894463789078,1961-04-20 00:00:00,BLR,Karnataka,14124.0,Self Employed,2024-04-25 00:00:00,REJECTED,MEDIUM,USR 20918,1,0,0,1,0,0,0,0,0,0,0
USR22494,NIRJA SHETTY,JWZVO4240H,5277136337802,1990-09-05 00:00:00,Chennai,Tamil Nadu,16160.0,Retired,,REJECTED,MEDIUM,usr22494,1,0,0,0,1,0,0,0,1,0,0
USR34742,Ati Dash,OOQCG9609N,985048780290,1962-12-20 00:00:00,Jaipur,Rajasthan,43738.0,Unemployed,2025-07-25 00:00:00,VERIFIED,HIGH,USR34742,1,0,0,1,0,0,0,0,0,1,1
USR83137,ria kale,,4902616251043,2005-09-09 00:00:00,Jaipur,Rajasthan,25151.0,Freelancer,2024-04-03 00:00:00,PENDING,LOW,USR83137,0,0,0,0,1,0,0,0,0,0,0
USR99161,jalsa malhotra,QLSKS5105S,944300371193,1963-05-20 05:27:00,Jalandhar,Punjab,-8083.0,Retired,,REJECTED,LOW,USR99161,1,0,0,1,0,1,0,0,1,0,0
USR16625,anika vora,CACWZ2722S,017979940718,,lucknow,Uttar Pradesh,28634.0,Unemployed,2026-03-08 00:00:00,VERIFIED,MEDIUM,USR16625,1,0,0,1,0,0,1,0,0,1,0
USR65060,Anirudh Bhatnagar,AIWTB3506U,2501336722102,2003-06-16 00:00:00,JPR,Rajasthan,30875.0,Student,2024-05-24 07:29:05,VERIFIED,LOW,USR 65060,1,0,0,0,1,0,0,0,0,1,0
USR13678,Reva Jaggi,KWLPY9915,577479489696,1982-05-27 00:00:00,jaipur,Rajasthan,24.2,Gig Worker,2024-02-16 00:00:00,PENDING,LOW,USR13678,0,1,0,1,0,0,0,0,0,0,0
USR78719,IndiraChaudhary,VGLXS2856D,624494538280,1977-04-17 07:18:29,ludhiana,Punjab,0.20231,Student,2024-01-30 00:00:00,VERIFIED,LOW,USR78719,1,0,0,1,0,0,0,0,0,1,0
USR83333,Gautam Bajwa,HLNXD7947Q,846950176261,1969-08-24 03:28:00,HYDERABAD,Telangana,24890.0,Freelancer,2025-07-10 08:23:10,REJECTED,LOW,USR83333,1,0,0,1,0,0,0,0,0,0,0
USR53554,Hemani Behl,SIBUO4381D,448832778808,1968-09-20 20:31:53,Dilli,Delhi,0.26617,Business Owner,2024-01-03 00:50:12,VERIFIED,LOW,USR53554,1,0,0,1,0,0,0,0,0,1,0
USR77711,Warinder Solanki,MFDIC1823G,XXXXXXXX5406,1987-07-15 00:00:00,Pune,Maharashtra,-81093.0,Gig Worker,2025-04-06 14:45:00,PENDING,HIGH,USR 77711,1,0,0,0,1,1,0,0,0,0,1
USR69726,Rudra Lal,CXBKD3190N,976073035125,1995-08-28 01:04:47,Calcutta,West Bengal,17.7,Student,2024-12-30 00:00:00,VERIFIED,LOW,USR69726,1,0,0,1,0,0,0,0,0,1,0
USR53544,DANIEL GOKHALE,UFLEH5366C,,1998-07-16 00:00:00,lucknow,Uttar Pradesh,32124.0,Self Employed,2025-10-12 00:00:00,VERIFIED,HIGH,USR 53544,1,0,0,0,0,0,0,0,0,1,1
USR57699,Advik Om,MXMQW7893W,XXXXXXXX1365,1999-04-26 00:00:00,Lucknow,Uttar Pradesh,0.19875,Freelancer,2024-06-04 00:00:00,VERIFIED,LOW,usr57699,1,0,0,0,1,0,0,0,0,1,0
USR53382,Mekhala Golla,BOBCZ3795L,652660807695,1967-02-06 00:00:00,Hyd,Telangana,13098.0,Retired,2026-01-12 00:00:00,VERIFIED,LOW,USR53382,1,0,0,1,0,0,0,0,0,1,0
USR26959,Ganga Pai,JXFNR4730M,149449272703,1966-07-04 00:00:00,ASR,Punjab,19624.0,Retired,2026-02-12 00:00:00,VERIFIED,UNKNOWN,USR 26959,1,0,0,1,0,0,0,0,0,1,0
USR13068,Megha Chandra,AVJUN6708Q,282909798427,1993-09-10 13:31:00,Kolkata,West Bengal,25378.0,Self Employed,2024-02-18 00:00:00,VERIFIED,LOW,USR13068,1,0,0,1,0,0,0,0,0,1,0
USR32767,Sanya Dalal,HBFFH5169P,584280034012,1964-01-18 00:00:00,New Delhi,Delhi,0.17051,Gig Worker,2024-10-11 00:00:00,VERIFIED,HIGH,USR32767,1,0,0,1,0,0,0,0,0,1,1
USR86400,Qadim Nayak,AQHFS2686A,945287372343,1978-09-06 00:00:00,Hyd,Telangana,0.19485,Retired,2026-02-06 04:09:04,VERIFIED,LOW,USR86400,1,0,0,1,0,0,0,0,0,1,0
USR72012,LIAM VARKEY,CNIVL5277X,XXXXXXXX0556,2004-08-25 00:00:00,MUMBAI,Maharashtra,-23591.0,Salaried,2025-09-08 15:25:17,PENDING,LOW,USR72012,1,0,0,0,1,1,0,0,0,0,0
USR65078,ANAMIKA CHAUDHARY,EYKUP2541J,871855606283,1987-01-09 00:00:00,JPR,Rajasthan,16714.0,Freelancer,2024-11-10 16:26:00,VERIFIED,LOW,USR65078,1,0,0,1,0,0,0,0,0,1,0
USR37121,Bhavika Thaker,MKYUT2802M,015496732243,1983-07-29 00:00:00,BLR,Karnataka,31824.0,Self Employed,2025-02-16 00:00:00,VERIFIED,LOW,USR 37121,1,0,0,1,0,0,0,0,0,1,0
USR_64308,Vedant Lalla,,843937681323,1990-02-13 00:00:00,Calcutta,West Bengal,10907.0,Retired,2026-03-08 00:00:00,VERIFIED,MEDIUM,usr_64308,0,0,0,1,0,0,0,0,0,1,0
USR13880,Krisha Borra,YWBSY7212H,,2003-09-23 00:00:00,HYDERABAD,Telangana,21188.0,Farmer,2024-06-29 05:51:04,VERIFIED,LOW,USR13880,1,0,0,0,0,0,0,0,0,1,0
