merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_raw,ticket_size_negative_flag,ticket_size_missing_flag,mcc_missing_flag,settlement_account_missing_flag,onboarding_date_missing_flag,merchant_suspended_flag,merchant_blocked_flag
MCH2849,"BHAVSAR, KOTA AND ZACHARIA",7011,hotel_lodging,Private Limited,Ludhiana,Punjab,2025-09-23 00:00:00,,INACTIVE,2432.18,mch2849,0,0,0,1,0,0,0
MCH4314,Deshmukh Ltd,5699,Apparel,PRIVATE_LIMITED,Jalandhar,Punjab,,3021439858,INACTIVE,986.05,MCH4314,0,0,0,0,1,0,0
MCH1986,"Bains, Chanda and Gh0sh",5311,Retail,individual,Jalandhar,Punjab,2026-01-10 00:00:00,,ACTIVE,1427.52,MCH1986,0,0,0,1,0,0,0
MCH3899,Goswami-Bath,4131,Transportation,Sole Proprietor,Hyderabad,Telangana,2023-01-14 00:00:00,,ACTIVE,-1271.48,mch3899,1,0,0,1,0,0,0
MCH4859,VASA-RAJU,5812,Restaurant,SOLE_PROPRIETOR,Hyd,Telangana,2025-03-17 02:59:45,XXXX9523,ACTIVE,0.214,MCH4859,0,0,0,0,0,0,0
MCH6848,Dora LLC,5311,Department Store,PARTNERSHIP,Chennai,Tamil Nadu,2025-09-20 22:23:18,DUSD7272281625368,ACTIVE,1272.49,MCH6848,0,0,0,0,0,0,0
MCH9933,Bali-Zachariah,5411,Grocery Stores,SOLE_PROPRIETOR,JPR,Rajasthan,2023-06-07 00:00:00,TWPF4694358713410,ACTIVE,0.1549,MCH9933,0,0,0,0,0,0,0
MCH2637,Joshi Group,5999,Misc Retail,PARTNERSHIP,chennai,Tamil Nadu,2025-02-20 00:00:00,,ACTIVE,-760.41,MCH-2637,1,0,0,1,0,0,0
MCH8708,"Mukherjee, Sami and Purohit",5999,Retail Other,Sole Proprietor,Hyderabad,Telangana,2026-01-28 00:00:00,,SUSPENDED,2919.92,MCH8708,0,0,0,1,0,1,0
MCH2430,Bora Group,4814,TELECOM,INDIVIDUAL,Amritsar,Punjab,2026-01-27 15:52:53,2955352677,ACTIVE,827.43,MCH 2430,0,0,0,0,0,0,0
MCH8556,"Rout, Dhillon and Sinha",5942,Book Store,SOLE_PROPRIETOR,jaipur,Rajasthan,2023-05-04 17:49:00,,ACTIVE,,MCH8556,0,1,0,1,0,0,0
MCH9997,"Kalita, Dass and Balay",5999,misc retail,individual,ludhiana,Punjab,2023-12-07 00:00:00,XXXX2557,ACTIVE,2233.91,MCH 9997,0,0,0,0,0,0,0
MCH7003,"Koshy, Samra and Chana",5942,BOOKS_STATIONERY,PRIVATE-LIMITED,Jalandhar,Punjab,2024-06-29 00:00:00,XXXX7569,HOLD,776.99,MCH7003,0,0,0,0,0,0,0
MCH6945,Barad LLC,3110,Retail,partnership,Ludhiana,Punjab,2025-09-13 06:55:00,,ACTIVE,3350.77,MCH 6945,0,0,0,1,0,0,0
MCH4323,"Ben, Wagle and Shan",5812,eating place,SOLE-PROPRIETOR,Madras,Tamil Nadu,2023-05-11 05:53:16,4367668757,SUSPENDED,,mch4323,0,1,0,0,0,1,0
MCH1405,Sawhney-Naru1a,9120,MEDICAL_STORE,sole_proprietor,lucknow,Uttar Pradesh,2024-12-31 00:00:00,,SUSPENDED,3091.86,mch1405,0,0,0,1,0,1,0
MCH9459,Bala and Sons,5411,Grocery,PARTNERSHIP,Madras,Tamil Nadu,2023-11-12 00:00:00,,ACTIVE,558.21,MCH9459,0,0,0,1,0,0,0
MCH7645,Majumdar-Nagarajan,5912,MEDICAL_STORE,Sole Proprietor,Amritsar,Punjab,2024-09-21 00:00:00,7530870851,ACTIVE,1396.81,MCH7645,0,0,0,0,0,0,0
MCH9620,chad plc,,Retail,INDIVIDUAL,Ludhiana,Punjab,2025-04-16 00:00:00,HEOY8360949899311,ACTIVE,786.55,mch9620,0,0,1,0,0,0,0
MCH9815,"NARASIMHAN, VASA AND GOSWAMI",5942,Book Store,INDIVIDUAL,DELHI,Delhi,2025-11-10 04:53:00,MZNM1643262942719,ACTIVE,-528.91,MCH9815,1,0,0,0,0,0,0
MCH5251,"Rana, Chandra and Tank",4131,Transportation,Partnership,mumbai,Maharashtra,,,INACTIVE,3641.26,MCH5251,0,0,0,1,1,0,0
MCH2934,Warri0r-Siba1,9990,Other,INDIVIDUAL,amritsar,Punjab,2025-04-07 00:00:00,,ACTIVE,,mch2934,0,1,0,1,0,0,0
MCH3140,"Zachariah,RajagopalandSamra",4814,TELECOM,private_limited,amritsar,Punjab,2023-09-04 17:37:45,,ACTIVE,363.21,MCH3140,0,0,0,1,0,0,0
MCH2833,Kapoor-Shankar,7011,HOTEL_LODGING,SOLE_PROPRIETOR,Jalandar,Punjab,,VEQH1532066637768,ACTIVE,474.69,MCH2833,0,0,0,0,1,0,0
MCH2849,"BHAVSAR, KOTA AND ZACHARIA",7011,HOTEL_LODGING,Private Limited,Ludhiana,Punjab,2025-09-23 00:00:00,,ACTIVE,2432.18,mch2849,0,0,0,1,0,0,0
MCH6397,"SURI, AGRAWAL AND NATARAJAN",5942,Books,PARTNERSHIP,Delhi,Delhi,2024-08-19 00:00:00,,ACTIVE,0.547,MCH6397,0,0,0,1,0,0,0
MCH2749,issac and sons,5912,MEDICAL_STORE,sole_proprietor,Mumbai,Maharashtra,2025-09-03 00:00:00,1616970087,ACTIVE,,MCH 2749,0,1,0,0,0,0,0
